dataset,index,name,preset_name,n,anf_terms,method,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,time_s,abc_lut_nodes,abc_lut_max_fanin,abc_script,source_manifest,skipped,error,abc_binary
n14,0,anf_n14_0,anf_n14_0,14,11,external_ros_lut_k3,3,928,1739,1787,859,47,48,62,1128.955,True,0.8120911121368408,47,3,strash; if -K 3,benchmark_exports/highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,25,anf_n15_25,anf_n15_25,15,1395,external_ros_lut_k3,3,295048,524539,531929,236881,13059,13060,13075,352497.305,True,0.6443703174591064,13059,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,25,anf_n15_25,anf_n15_25,15,1395,external_ros_lut_k4,4,429232,729587,735931,306699,8516,8518,8532,489557.435,True,0.6575808525085449,8516,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,25,anf_n15_25,anf_n15_25,15,1395,external_ros_lut_k5,5,604008,996233,1000959,396951,5811,5814,5827,674469.215,True,0.7533750534057617,5811,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,26,anf_n15_26,anf_n15_26,15,386,external_ros_lut_k3,3,278768,495267,502459,223691,12405,12406,12421,333164.475,True,0.6020870208740234,12405,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,26,anf_n15_26,anf_n15_26,15,386,external_ros_lut_k4,4,406176,689629,695779,289603,8112,8114,8128,463321.875,True,0.6106131076812744,8112,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,26,anf_n15_26,anf_n15_26,15,386,external_ros_lut_k5,5,571376,941561,946105,374729,5619,5622,5635,638221.3049999999,True,0.7005829811096191,5619,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,27,anf_n15_27,anf_n15_27,15,412,external_ros_lut_k3,3,295904,525733,533231,237327,13118,13119,13134,353543.05500000005,True,0.655595064163208,13118,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,27,anf_n15_27,anf_n15_27,15,412,external_ros_lut_k4,4,433696,736797,743333,309637,8583,8585,8599,494584.245,True,0.6593008041381836,8583,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,27,anf_n15_27,anf_n15_27,15,412,external_ros_lut_k5,5,615304,1014463,1019247,403943,5901,5904,5917,687018.655,True,0.7516307830810547,5901,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,28,anf_n15_28,anf_n15_28,15,4,external_ros_lut_k3,3,200,365,369,169,11,12,27,245.825,True,0.20525002479553223,11,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,28,anf_n15_28,anf_n15_28,15,4,external_ros_lut_k4,4,192,339,345,153,7,8,23,228.26500000000001,True,0.20450782775878906,7,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,28,anf_n15_28,anf_n15_28,15,4,external_ros_lut_k5,5,80,139,143,63,3,4,19,96.335,True,0.20314812660217285,3,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,29,anf_n15_29,anf_n15_29,15,76,external_ros_lut_k3,3,144464,257717,261567,117103,6351,6352,6367,172571.215,True,0.3816189765930176,6351,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,29,anf_n15_29,anf_n15_29,15,76,external_ros_lut_k4,4,203416,346777,349911,146495,4093,4095,4109,232190.695,True,0.3929710388183594,4093,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,29,anf_n15_29,anf_n15_29,15,76,external_ros_lut_k5,5,286488,473417,475739,189251,2776,2779,2792,320011.275,True,0.4353358745574951,2776,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,3,anf_n15_3,anf_n15_3,15,3,external_ros_lut_k3,3,232,427,437,205,11,12,27,281.685,True,0.21210598945617676,11,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,3,anf_n15_3,anf_n15_3,15,3,external_ros_lut_k4,4,64,111,115,51,3,4,19,78.675,True,0.21523714065551758,3,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,3,anf_n15_3,anf_n15_3,15,3,external_ros_lut_k5,5,64,111,115,51,3,4,19,78.675,True,0.2149372100830078,3,4,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,30,anf_n15_30,anf_n15_30,15,308,external_ros_lut_k3,3,288312,512225,519479,231167,12797,12798,12813,344500.855,True,0.6069509983062744,12797,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,30,anf_n15_30,anf_n15_30,15,308,external_ros_lut_k4,4,425656,722645,728911,303255,8444,8446,8460,485420.01499999996,True,0.6281962394714355,8444,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,30,anf_n15_30,anf_n15_30,15,308,external_ros_lut_k5,5,597424,985303,989993,392569,5885,5888,5901,667387.705,True,0.726081132888794,5885,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,31,anf_n15_31,anf_n15_31,15,1329,external_ros_lut_k3,3,289520,513491,520629,231109,12817,12818,12833,345816.16500000004,True,0.6266238689422607,12817,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,31,anf_n15_31,anf_n15_31,15,1329,external_ros_lut_k4,4,424064,719683,725971,301907,8432,8434,8448,483627.955,True,0.639167070388794,8432,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,31,anf_n15_31,anf_n15_31,15,1329,external_ros_lut_k5,5,596360,982407,987093,390733,5862,5865,5878,666100.005,True,0.7366838455200195,5862,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,4,anf_n15_4,anf_n15_4,15,192,external_ros_lut_k3,3,268816,477353,484019,215203,11820,11821,11836,320964.435,True,0.611083984375,11820,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,4,anf_n15_4,anf_n15_4,15,192,external_ros_lut_k4,4,391296,664467,670283,278987,7739,7741,7755,446200.795,True,0.6592659950256348,7739,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,4,anf_n15_4,anf_n15_4,15,192,external_ros_lut_k5,5,547016,901625,906025,359009,5336,5339,5352,610939.465,True,0.7547390460968018,5336,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,5,anf_n15_5,anf_n15_5,15,128,external_ros_lut_k3,3,260360,462931,469535,209175,11524,11525,11540,311062.015,True,0.6454982757568359,11524,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,5,anf_n15_5,anf_n15_5,15,128,external_ros_lut_k4,4,380056,645245,650911,270855,7506,7508,7522,433354.01499999996,True,0.6575968265533447,7506,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,5,anf_n15_5,anf_n15_5,15,128,external_ros_lut_k5,5,533408,879645,883821,350413,5146,5149,5162,595653.245,True,0.7364201545715332,5146,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,6,anf_n15_6,anf_n15_6,15,15,external_ros_lut_k3,3,4512,8271,8437,3925,216,217,232,5442.645,True,0.2536892890930176,216,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,6,anf_n15_6,anf_n15_6,15,15,external_ros_lut_k4,4,5784,10103,10229,4445,139,141,155,6668.005,True,0.2649519443511963,139,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,6,anf_n15_6,anf_n15_6,15,15,external_ros_lut_k5,5,7624,12925,13007,5383,105,108,121,8605.935,True,0.26572179794311523,105,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,7,anf_n15_7,anf_n15_7,15,48,external_ros_lut_k3,3,99280,177741,180485,81205,4411,4412,4427,118732.965,True,0.36602234840393066,4411,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,7,anf_n15_7,anf_n15_7,15,48,external_ros_lut_k4,4,139944,238977,241175,101231,2849,2851,2865,159835.01499999998,True,0.38905811309814453,2849,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,7,anf_n15_7,anf_n15_7,15,48,external_ros_lut_k5,5,195760,324503,326117,130357,1895,1898,1911,218731.445,True,0.4017448425292969,1895,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,8,anf_n15_8,anf_n15_8,15,261,external_ros_lut_k3,3,261072,464021,470521,209449,11539,11540,11555,311865.145,True,0.5906150341033936,11539,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,8,anf_n15_8,anf_n15_8,15,261,external_ros_lut_k4,4,381840,648615,654183,272343,7506,7508,7522,435336.77499999997,True,0.6043410301208496,7506,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,8,anf_n15_8,anf_n15_8,15,261,external_ros_lut_k5,5,545832,899975,904127,358295,5173,5176,5189,609327.855,True,0.6881701946258545,5173,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,9,anf_n15_9,anf_n15_9,15,79,external_ros_lut_k3,3,181176,322941,327793,146617,7961,7962,7977,216400.70500000002,True,0.45883893966674805,7961,3,strash; if -K 3,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,9,anf_n15_9,anf_n15_9,15,79,external_ros_lut_k4,4,262696,447049,450987,188291,5155,5157,5171,299539.675,True,0.45366907119750977,5155,4,strash; if -K 4,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n15,9,anf_n15_9,anf_n15_9,15,79,external_ros_lut_k5,5,367504,607753,610807,243303,3559,3562,3575,410533.255,True,0.5203878879547119,3559,5,strash; if -K 5,benchmark_exports/highdim_scale_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,0,anf_n16_0,anf_n16_0,16,15,external_ros_lut_k3,3,1624,3083,3183,1559,99,100,116,2010.6549999999997,True,0.5123691558837891,99,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,0,anf_n16_0,anf_n16_0,16,15,external_ros_lut_k4,4,1984,3533,3591,1607,55,57,72,2309.255,True,0.5093450546264648,55,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,0,anf_n16_0,anf_n16_0,16,15,external_ros_lut_k5,5,2088,3605,3643,1555,39,41,56,2384.395,True,0.5258541107177734,39,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,1,anf_n16_1,anf_n16_1,16,320,external_ros_lut_k3,3,535552,948345,961357,425805,23605,23606,23622,639376.2050000001,True,1.4135260581970215,23605,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,1,anf_n16_1,anf_n16_1,16,320,external_ros_lut_k4,4,777888,1318601,1330249,552361,15641,15643,15658,887395.385,True,1.4285602569580078,15641,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,1,anf_n16_1,anf_n16_1,16,320,external_ros_lut_k5,5,1126224,1852823,1861629,735405,11119,11122,11136,1257859.405,True,1.604435920715332,11119,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,10,anf_n16_10,anf_n16_10,16,344,external_ros_lut_k3,3,528216,937261,950171,421955,23248,23249,23265,630676.5549999999,True,1.4596681594848633,23248,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,10,anf_n16_10,anf_n16_10,16,344,external_ros_lut_k4,4,764728,1298765,1310385,545657,15237,15239,15254,872268.945,True,1.4137389659881592,15237,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,10,anf_n16_10,anf_n16_10,16,344,external_ros_lut_k5,5,1088680,1794727,1803481,714801,10655,10658,10672,1215985.3050000002,True,1.630685806274414,10655,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,11,anf_n16_11,anf_n16_11,16,63,external_ros_lut_k3,3,313920,559995,568497,254577,13645,13646,13662,374685.025,True,1.0027329921722412,13645,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,11,anf_n16_11,anf_n16_11,16,63,external_ros_lut_k4,4,455712,777011,784133,328421,8853,8855,8870,519548.645,True,1.0287940502166748,8853,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,11,anf_n16_11,anf_n16_11,16,63,external_ros_lut_k5,5,655328,1084051,1089231,433903,6125,6128,6142,731623.535,True,1.1127290725708008,6125,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,12,anf_n16_12,anf_n16_12,16,392,external_ros_lut_k3,3,580520,1030031,1044469,463949,25518,25519,25535,693065.765,True,1.5512187480926514,25518,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,12,anf_n16_12,anf_n16_12,16,392,external_ros_lut_k4,4,850712,1444581,1457365,606653,16802,16804,16819,970030.245,True,1.5566022396087646,16802,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,12,anf_n16_12,anf_n16_12,16,392,external_ros_lut_k5,5,1225576,2019639,2029037,803461,11839,11842,11856,1368515.725,True,1.7619550228118896,11839,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,13,anf_n16_13,anf_n16_13,16,4,external_ros_lut_k3,3,160,299,311,151,10,11,27,200.135,True,0.506821870803833,10,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,13,anf_n16_13,anf_n16_13,16,4,external_ros_lut_k4,4,136,247,255,119,6,7,23,164.89499999999998,True,0.5076289176940918,6,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,13,anf_n16_13,anf_n16_13,16,4,external_ros_lut_k5,5,96,173,179,83,5,6,22,118.435,True,0.5062861442565918,5,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,14,anf_n16_14,anf_n16_14,16,99,external_ros_lut_k3,3,322336,572659,580581,258245,14179,14180,14196,384893.525,True,1.008178949356079,14179,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,14,anf_n16_14,anf_n16_14,16,99,external_ros_lut_k4,4,467016,793355,800333,333317,9324,9326,9341,532740.365,True,1.0150599479675293,9324,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,14,anf_n16_14,anf_n16_14,16,99,external_ros_lut_k5,5,677016,1116435,1121623,444607,6535,6538,6552,756019.815,True,1.1387808322906494,6535,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,15,anf_n16_15,anf_n16_15,16,985,external_ros_lut_k3,3,568240,1007777,1021975,453735,25080,25081,25097,678580.0549999999,True,1.477931022644043,25080,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,15,anf_n16_15,anf_n16_15,16,985,external_ros_lut_k4,4,828400,1406361,1418917,590517,16580,16582,16597,945007.365,True,1.5110528469085693,16580,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,15,anf_n16_15,anf_n16_15,16,985,external_ros_lut_k5,5,1191992,1963753,1973191,781199,11680,11683,11697,1331317.975,True,1.7198541164398193,11680,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,16,anf_n16_16,anf_n16_16,16,60,external_ros_lut_k3,3,201704,358735,363943,162239,8864,8865,8881,240864.935,True,0.8271958827972412,8864,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,16,anf_n16_16,anf_n16_16,16,60,external_ros_lut_k4,4,296088,502963,507267,211179,5824,5826,5841,337579.315,True,0.8433940410614014,5824,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,16,anf_n16_16,anf_n16_16,16,60,external_ros_lut_k5,5,419344,692081,695455,276111,4066,4069,4083,468358.175,True,0.8907802104949951,4066,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,17,anf_n16_17,anf_n16_17,16,543,external_ros_lut_k3,3,528264,938615,951867,423603,23282,23283,23299,630888.635,True,1.3769941329956055,23282,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,17,anf_n16_17,anf_n16_17,16,543,external_ros_lut_k4,4,776200,1318655,1330381,554181,15382,15384,15399,885211.725,True,1.3925178050994873,15382,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,17,anf_n16_17,anf_n16_17,16,543,external_ros_lut_k5,5,1103152,1818523,1827095,723943,10644,10647,10661,1231832.775,True,1.5779099464416504,10644,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,18,anf_n16_18,anf_n16_18,16,747,external_ros_lut_k3,3,581088,1029603,1043659,462571,25601,25602,25618,693756.715,True,1.5684800148010254,25601,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,18,anf_n16_18,anf_n16_18,16,747,external_ros_lut_k4,4,849120,1440219,1452727,603607,16906,16908,16923,968371.735,True,1.5842068195343018,16906,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,18,anf_n16_18,anf_n16_18,16,747,external_ros_lut_k5,5,1224208,2015919,2025235,801027,12011,12014,12028,1367261.555,True,1.7771713733673096,12011,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,19,anf_n16_19,anf_n16_19,16,1329,external_ros_lut_k3,3,569792,1009423,1023201,453409,25132,25133,25149,680317.025,True,1.4890551567077637,25132,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,19,anf_n16_19,anf_n16_19,16,1329,external_ros_lut_k4,4,830672,1409645,1422115,591443,16552,16554,16569,947411.9550000001,True,1.5241749286651611,16552,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,19,anf_n16_19,anf_n16_19,16,1329,external_ros_lut_k5,5,1203032,1981817,1991337,788305,11728,11731,11745,1343519.785,True,1.7213830947875977,11728,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,2,anf_n16_2,anf_n16_2,16,657,external_ros_lut_k3,3,545216,967713,981357,436141,24017,24018,24034,651042.285,True,1.4324228763580322,24017,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,2,anf_n16_2,anf_n16_2,16,657,external_ros_lut_k4,4,792784,1346275,1358325,565541,15770,15772,15787,904209.285,True,1.457231044769287,15770,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,2,anf_n16_2,anf_n16_2,16,657,external_ros_lut_k5,5,1136584,1873503,1882449,745865,11081,11084,11098,1269387.5050000001,True,1.624478816986084,11081,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,20,anf_n16_20,anf_n16_20,16,744,external_ros_lut_k3,3,579448,1026257,1040201,460753,25555,25556,25572,691820.8250000001,True,1.5490853786468506,25555,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,20,anf_n16_20,anf_n16_20,16,744,external_ros_lut_k4,4,854232,1448623,1461409,607177,16906,16908,16923,973985.8250000001,True,1.5780072212219238,16906,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,20,anf_n16_20,anf_n16_20,16,744,external_ros_lut_k5,5,1232760,2030365,2039835,807075,12020,12023,12037,1376688.875,True,1.8180029392242432,12020,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,21,anf_n16_21,anf_n16_21,16,802,external_ros_lut_k3,3,579872,1027141,1041179,461307,25552,25553,25569,692294.395,True,1.5638389587402344,25552,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,21,anf_n16_21,anf_n16_21,16,802,external_ros_lut_k4,4,850944,1443143,1455815,604871,16866,16868,16883,970291.6549999999,True,1.5993809700012207,16866,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,21,anf_n16_21,anf_n16_21,16,802,external_ros_lut_k5,5,1213240,1997815,2007307,794067,11971,11974,11988,1355150.875,True,1.774271011352539,11971,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,22,anf_n16_22,anf_n16_22,16,367,external_ros_lut_k3,3,569992,1010043,1023883,453891,25066,25067,25083,680424.875,True,1.5098040103912354,25066,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,22,anf_n16_22,anf_n16_22,16,367,external_ros_lut_k4,4,827264,1404249,1416781,589517,16519,16521,16536,943622.845,True,1.5588810443878174,16519,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,22,anf_n16_22,anf_n16_22,16,367,external_ros_lut_k5,5,1183216,1949887,1959251,776035,11649,11652,11666,1321664.595,True,1.765552043914795,11649,5,strash; if -K 5,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,23,anf_n16_23,anf_n16_23,16,88,external_ros_lut_k3,3,419728,743407,753587,333859,18317,18318,18334,500742.67500000005,True,1.2082998752593994,18317,3,strash; if -K 3,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
n16,23,anf_n16_23,anf_n16_23,16,88,external_ros_lut_k4,4,612672,1036659,1045273,432601,12030,12032,12047,698207.465,True,1.2203338146209717,12030,4,strash; if -K 4,benchmark_exports/ultra_highdim_resource_external_seed42,,,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc
